icd10Code,icd10ClassKind,icd10Chapter,icd10Title,icd11Code,icd11ClassKind,icd11Chapter,icd11Title
A15.8,category,I,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A15.9,category,I,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",1B10.0,category,01,"Respiratory tuberculosis, confirmed"
A16,category,I,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",1B10.1,category,01,"Respiratory tuberculosis, not confirmed"
A16.0,category,I,"Tuberculosis of lung, bacteriologically and histologically negative",1B10.1,category,01,"Respiratory tuberculosis, not confirmed"
A16.1,category,I,"Tuberculosis of lung, bacteriological and histological examination not done",1B10.1,category,01,"Respiratory tuberculosis, not confirmed"
A16.2,category,I,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.3,category,I,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.4,category,I,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.5,category,I,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.7,category,I,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.8,category,I,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.9,category,I,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",1B10.Z,category,01,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A17,category,I,Tuberculosis of nervous system,1B11.Z,category,01,"Tuberculosis of the nervous system, unspecified"
A17.0,category,I,Tuberculous meningitis,1B11.0,category,01,Tuberculous meningitis
A17.1,category,I,Meningeal tuberculoma,1B11.2,category,01,Meningeal tuberculoma
A17.8,category,I,Other tuberculosis of nervous system,1B11.Z,category,01,"Tuberculosis of the nervous system, unspecified"
A17.8,category,I,Other tuberculosis of nervous system,1B11.Y/1D02.0,category,01,Other tuberculosis of nervous system / Bacterial myelitis
A17.8,category,I,Other tuberculosis of nervous system,1B11.1,category,01,Tuberculous meningoencephalitis
A17.9,category,I,"Tuberculosis of nervous system, unspecified",1B11.Z,category,01,"Tuberculosis of the nervous system, unspecified"
A18,category,I,Tuberculosis of other organs,1B12.Y,category,01,Tuberculosis of other specified organ or site
A18.0,category,I,Tuberculosis of bones and joints,1B12.40/FA10.0,category,01,Tuberculosis of bones or joints / Bacterial infection of joint
A18.1,category,I,Tuberculosis of genitourinary system,1B12.5,category,01,Tuberculosis of the genitourinary system
A18.2,category,I,Tuberculous peripheral lymphadenopathy,1B12.6,category,01,Tuberculous peripheral lymphadenopathy
A18.3,category,I,"Tuberculosis of intestines, peritoneum and mesenteric glands",1B12.7,category,01,Tuberculosis of the digestive system
A18.4,category,I,Tuberculosis of skin and subcutaneous tissue,1B12.8,category,01,Cutaneous tuberculosis
A18.5,category,I,Tuberculosis of eye,1B12.1,category,01,Tuberculosis of eye
A18.6,category,I,Tuberculosis of ear,1B12.2,category,01,Tuberculosis of ear
A18.7,category,I,Tuberculosis of adrenal glands,1B12.3&XA0NE9/5A74.0,category,01,Tuberculosis of endocrine glands [Adrenal gland] / Acquired adrenocortical insufficiency
A18.8,category,I,Tuberculosis of other specified organs,1B12.Y,category,01,Tuberculosis of other specified organ or site
A18.8,category,I,Tuberculosis of other specified organs,1B12.7,category,01,Tuberculosis of the digestive system
A18.8,category,I,Tuberculosis of other specified organs,1B12.3&XA8RK3,category,01,Tuberculosis of endocrine glands [Thyroid gland]
A19,category,I,Miliary tuberculosis,1B13.Z,category,01,"Miliary tuberculosis, unspecified"
A19.0,category,I,Acute miliary tuberculosis of a single specified site,1B13.0,category,01,Acute miliary tuberculosis of a single specified site
A19.1,category,I,Acute miliary tuberculosis of multiple sites,1B13.1,category,01,Acute miliary tuberculosis of multiple sites
A19.2,category,I,"Acute miliary tuberculosis, unspecified",1B13.Z,category,01,"Miliary tuberculosis, unspecified"
A19.8,category,I,Other miliary tuberculosis,1B13.Z,category,01,"Miliary tuberculosis, unspecified"
A19.9,category,I,"Miliary tuberculosis, unspecified",1B13.Z,category,01,"Miliary tuberculosis, unspecified"
A20-A28,block,I,Certain zoonotic bacterial diseases,1B9Z,category,01,Unspecified zoonotic bacterial disease
A20,category,I,Plague,1B93.Z,category,01,"Plague, unspecified"
A20.0,category,I,Bubonic plague,1B93.0,category,01,Bubonic plague
A20.1,category,I,Cellulocutaneous plague,1B93.1,category,01,Cellulocutaneous plague
A20.2,category,I,Pneumonic plague,1B93.2,category,01,Pneumonic plague
A20.3,category,I,Plague meningitis,1B93.3,category,01,Plague meningitis
A20.7,category,I,Septicaemic plague,1B93.Z,category,01,"Plague, unspecified"
A20.8,category,I,Other forms of plague,1B93.Z,category,01,"Plague, unspecified"
A20.9,category,I,"Plague, unspecified",1B93.Z,category,01,"Plague, unspecified"
A21,category,I,Tularaemia,1B94.Z,category,01,"Tularaemia, unspecified"
A21.0,category,I,Ulceroglandular tularaemia,1B94.0,category,01,Ulceroglandular tularaemia
A21.1,category,I,Oculoglandular tularaemia,1B94.Y,category,01,Other specified tularaemia
A21.2,category,I,Pulmonary tularaemia,1B94.Y,category,01,Other specified tularaemia
A21.3,category,I,Gastrointestinal tularaemia,1B94.Y,category,01,Other specified tularaemia
A21.7,category,I,Generalized tularaemia,1B94.Y,category,01,Other specified tularaemia
A21.8,category,I,Other forms of tularaemia,1B94.Z,category,01,"Tularaemia, unspecified"
A21.9,category,I,"Tularaemia, unspecified",1B94.Z,category,01,"Tularaemia, unspecified"
A22,category,I,Anthrax,1B97,category,01,Anthrax
A22.0,category,I,Cutaneous anthrax,1B97,category,01,Anthrax
A22.1,category,I,Pulmonary anthrax,1B97,category,01,Anthrax
A22.2,category,I,Gastrointestinal anthrax,1B97,category,01,Anthrax
A22.7,category,I,Anthrax sepsis,1B97,category,01,Anthrax
A22.8,category,I,Other forms of anthrax,1B97,category,01,Anthrax
A22.9,category,I,"Anthrax, unspecified",1B97,category,01,Anthrax
A23,category,I,Brucellosis,1B95,category,01,Brucellosis
A23.0,category,I,Brucellosis due to Brucella melitensis,1B95&XN7ZW,category,01,Brucellosis [Brucella melitensis]
A23.1,category,I,Brucellosis due to Brucella abortus,1B95&XN7A8,category,01,Brucellosis [Brucella abortus]
A23.2,category,I,Brucellosis due to Brucella suis,1B95&XN3UP,category,01,Brucellosis [Brucella suis]
A23.3,category,I,Brucellosis due to Brucella canis,1B95&XN84J,category,01,Brucellosis [Brucella canis]
A23.8,category,I,Other brucellosis,1B95,category,01,Brucellosis
