entityId,code,title,classKind,depthInKind,chapterNo,parentEntityId
900000047,1B11.Z,"Tuberculosis of the nervous system, unspecified",category,2,01,729372485
746680558,1B12,Tuberculosis of other systems or organs,category,1,01,2072728114
271545608,1B12.0,Tuberculosis of heart,category,2,01,746680558
1074723013,1B12.1,Tuberculosis of eye,category,2,01,746680558
883140666,1B12.2,Tuberculosis of ear,category,2,01,746680558
807058764,1B12.3,Tuberculosis of endocrine glands,category,2,01,746680558
1459473353,1B12.4,Tuberculosis of the musculoskeletal system,category,2,01,746680558
570881596,1B12.40,Tuberculosis of bones or joints,category,3,01,1459473353
1828714202,1B12.41,Tuberculous myositis,category,3,01,1459473353
900000048,1B12.4Y,Tuberculosis of other specified part of the musculoskeletal system,category,3,01,1459473353
900000049,1B12.4Z,"Tuberculosis of the musculoskeletal system, unspecified",category,3,01,1459473353
1196243886,1B12.5,Tuberculosis of the genitourinary system,category,2,01,746680558
870345553,1B12.6,Tuberculous peripheral lymphadenopathy,category,2,01,746680558
1873777499,1B12.7,Tuberculosis of the digestive system,category,2,01,746680558
625292625,1B12.8,Cutaneous tuberculosis,category,2,01,746680558
900000050,1B12.Y,Tuberculosis of other specified organ or site,category,2,01,746680558
861638547,1B13,Miliary tuberculosis,category,1,01,2072728114
1056849595,1B13.0,Acute miliary tuberculosis of a single specified site,category,2,01,861638547
1538650927,1B13.1,Acute miliary tuberculosis of multiple sites,category,2,01,861638547
1690351031,1B13.2,"Acute miliary tuberculosis, unspecified site",category,2,01,861638547
900000051,1B13.Y,Other specified miliary tuberculosis,category,2,01,861638547
900000052,1B13.Z,"Miliary tuberculosis, unspecified",category,2,01,861638547
454434138,1B14,Latent tuberculosis,category,1,01,2072728114
900000053,1B1Y,Other specified tuberculosis,category,1,01,2072728114
900000054,1B1Z,"Tuberculosis, unspecified",category,1,01,2072728114
149072669,1B20,Leprosy,category,1,01,979278646
1800264981,1B20.0,Paucibacillary leprosy,category,2,01,149072669
1123804548,1B20.1,Multibacillary leprosy,category,2,01,149072669
1295356165,1B20.2,Leprosy reactions,category,2,01,149072669
1185467033,1B20.20,Type I leprosy reaction,category,3,01,1295356165
1886317801,1B20.21,Type II leprosy reaction,category,3,01,1295356165
1324017222,1B20.3,Complications of leprosy,category,2,01,149072669
900000055,1B20.Z,"Leprosy, unspecified",category,2,01,149072669
1839818377,1B21,Infections due to non-tuberculous mycobacteria,category,1,01,979278646
1798822437,1B21.0,Pulmonary infection due to non-tuberculous mycobacterium,category,2,01,1839818377
882647079,1B21.1,Non-tuberculous mycobacterial lymphadenitis,category,2,01,1839818377
1723965278,1B21.2,Cutaneous non-tuberculous mycobacterial infection,category,2,01,1839818377
1974989140,1B21.20,Mycobacterium ulcerans infection,category,3,01,1723965278
900000056,1B21.2Y,Cutaneous infection due to other specified non-tuberculous mycobacteria,category,3,01,1723965278
900000057,1B21.2Z,Cutaneous infection due to unspecified non-tuberculous mycobacteria,category,3,01,1723965278
625446129,1B21.3,Disseminated non-tuberculous mycobacterial infection,category,2,01,1839818377
1642291965,1B21.4,Gastrointestinal non-tuberculous mycobacterial infection,category,2,01,1839818377
900000058,1B21.Y,Non-tuberculous mycobacterial infection of other specified site,category,2,01,1839818377
900000059,1B21.Z,Non-tuberculous mycobacterial infection of unspecified site,category,2,01,1839818377
900000060,1B2Y,Other specified mycobacterial diseases,category,1,01,979278646
900000061,1B2Z,"Mycobacterial diseases, unspecified",category,1,01,979278646
1539889147,,Certain staphylococcal or streptococcal diseases,block,1,01,1435254666
871612151,,Acute rheumatic fever,block,2,01,1539889147
2058300982,1B40,Acute rheumatic fever without mention of heart involvement,category,1,01,871612151
1097470385,1B40.0,"Rheumatic arthritis, acute or subacute",category,2,01,2058300982
900000062,1B40.Y,Other specified acute rheumatic fever without mention of heart involvement,category,2,01,2058300982
900000063,1B40.Z,"Acute rheumatic fever without mention of heart involvement, unspecified",category,2,01,2058300982
535094176,1B41,Acute rheumatic fever with heart involvement,category,1,01,871612151
869759708,1B41.0,Acute rheumatic pericarditis,category,2,01,535094176
1453111118,1B41.1,Acute rheumatic endocarditis,category,2,01,535094176
1384553803,1B41.10,Rheumatic aortitis,category,3,01,1453111118
900000064,1B41.1Y,Other specified acute rheumatic endocarditis,category,3,01,1453111118
900000065,1B41.1Z,"Acute rheumatic endocarditis, unspecified",category,3,01,1453111118
573695921,1B41.2,Acute rheumatic myocarditis,category,2,01,535094176
900000066,1B41.Y,Other acute rheumatic heart disease,category,2,01,535094176
900000067,1B41.Z,"Acute rheumatic heart disease, unspecified",category,2,01,535094176
1799992159,1B42,Rheumatic chorea,category,1,01,871612151
107294155,1B50,Scarlet fever,category,1,01,1539889147
1642172022,1B51,Streptococcal pharyngitis,category,1,01,1539889147
705971711,1B53,Meningitis due to Streptococcus,category,1,01,1539889147
1331660907,1B54,Meningitis due to Staphylococcus,category,1,01,1539889147
900000068,1B5Y,Other specified staphylococcal or streptococcal diseases,category,1,01,1539889147
900000069,1B5Z,"Staphylococcal or streptococcal diseases, unspecified",category,1,01,1539889147
1412960686,,Pyogenic bacterial infections of the skin or subcutaneous tissues,block,1,01,1435254666
2144774073,1B70,"Bacterial cellulitis, erysipelas or lymphangitis",category,1,01,1412960686
1651247891,1B70.0,Erysipelas,category,2,01,2144774073
896866865,1B70.00,Erysipelas of face,category,3,01,1651247891
348525836,1B70.01,Erysipelas of external ear,category,3,01,1651247891
