icd10_code,icd10_desc,icdo4_code,icdo4_desc
C31.9,"Malignant neoplasm of accessory sinus, unspecified",80442/3,SWI/SNF complex-deficient sinonasal carcinoma
C30.0,Malignant neoplasm of nasal cavity,80443/3,SMARCB1-deficient sinonasal carcinoma
C30.1,Malignant neoplasm of middle ear,80443/3,SMARCB1-deficient sinonasal carcinoma
C31.0,Malignant neoplasm of maxillary sinus,80443/3,SMARCB1-deficient sinonasal carcinoma
C31.1,Malignant neoplasm of ethmoidal sinus,80443/3,SMARCB1-deficient sinonasal carcinoma
C31.2,Malignant neoplasm of frontal sinus,80443/3,SMARCB1-deficient sinonasal carcinoma
C31.3,Malignant neoplasm of sphenoid sinus,80443/3,SMARCB1-deficient sinonasal carcinoma
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,80443/3,SMARCB1-deficient sinonasal carcinoma
C31.9,"Malignant neoplasm of accessory sinus, unspecified",80443/3,SMARCB1-deficient sinonasal carcinoma
C30.0,Malignant neoplasm of nasal cavity,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C30.1,Malignant neoplasm of middle ear,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C31.0,Malignant neoplasm of maxillary sinus,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C31.1,Malignant neoplasm of ethmoidal sinus,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C31.2,Malignant neoplasm of frontal sinus,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C31.3,Malignant neoplasm of sphenoid sinus,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C31.9,"Malignant neoplasm of accessory sinus, unspecified",80444/3,SMARCB1-deficient sinonasal adenocarcinoma
C30.0,Malignant neoplasm of nasal cavity,80445/3,SMARCA4-deficient sinonasal carcinoma
C30.1,Malignant neoplasm of middle ear,80445/3,SMARCA4-deficient sinonasal carcinoma
C31.0,Malignant neoplasm of maxillary sinus,80445/3,SMARCA4-deficient sinonasal carcinoma
C31.1,Malignant neoplasm of ethmoidal sinus,80445/3,SMARCA4-deficient sinonasal carcinoma
C31.2,Malignant neoplasm of frontal sinus,80445/3,SMARCA4-deficient sinonasal carcinoma
C31.3,Malignant neoplasm of sphenoid sinus,80445/3,SMARCA4-deficient sinonasal carcinoma
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,80445/3,SMARCA4-deficient sinonasal carcinoma
C31.9,"Malignant neoplasm of accessory sinus, unspecified",80445/3,SMARCA4-deficient sinonasal carcinoma
C65.9,Malignant neoplasm of unspecified renal pelvis,80454/3,Combined small cell-urothelial carcinoma
C66.9,Malignant neoplasm of unspecified ureter,80454/3,Combined small cell-urothelial carcinoma
C67.0,Malignant neoplasm of trigone of bladder,80454/3,Combined small cell-urothelial carcinoma
C67.1,Malignant neoplasm of dome of bladder,80454/3,Combined small cell-urothelial carcinoma
C67.2,Malignant neoplasm of lateral wall of bladder,80454/3,Combined small cell-urothelial carcinoma
C67.3,Malignant neoplasm of anterior wall of bladder,80454/3,Combined small cell-urothelial carcinoma
C67.4,Malignant neoplasm of posterior wall of bladder,80454/3,Combined small cell-urothelial carcinoma
C67.5,Malignant neoplasm of bladder neck,80454/3,Combined small cell-urothelial carcinoma
C67.6,Malignant neoplasm of ureteric orifice,80454/3,Combined small cell-urothelial carcinoma
C67.7,Malignant neoplasm of urachus,80454/3,Combined small cell-urothelial carcinoma
C67.8,Malignant neoplasm of overlapping sites of bladder,80454/3,Combined small cell-urothelial carcinoma
C67.9,"Malignant neoplasm of bladder, unspecified",80454/3,Combined small cell-urothelial carcinoma
C68.0,Malignant neoplasm of urethra,80454/3,Combined small cell-urothelial carcinoma
C34.0,Malignant neoplasm of main bronchus,80460/3,Non-small cell carcinoma
C34.00,Malignant neoplasm of unspecified main bronchus,80460/3,Non-small cell carcinoma
C34.01,Malignant neoplasm of right main bronchus,80460/3,Non-small cell carcinoma
